year,plot,plotLoc,AMFInoc,biochar,block,mass_8mm,mass_4mm,mass_2mm,mass_1mm,mass_0-5mm,mass_0-25mm,mass_fine,totalMass,perc_8mm,perc_4mm,perc_2mm,perc_1mm,perc_0-5mm,perc_0-25mm,perc_fine
2014,23,Ring,N,H,4,13.623,20.994,21.615,20.894,15.127,9.52,15.131,116.904,0.116531513,0.179583248,0.184895299,0.178727845,0.12939677,0.081434339,0.129430986
2014,24,Center,Y,H,4,17.058,18.637,18.873,18.343,12.93,8.182,15.779,109.802,0.155352362,0.169732792,0.171882115,0.167055245,0.117757418,0.074515947,0.143704122
2014,24,Ring,Y,H,4,11.945,16.655,19.298,19.443,13.82,9.079,13.936,104.176,0.114661726,0.159873675,0.185244202,0.186636077,0.132660114,0.087150591,0.133773614
2014,25,Center,Y,L,5,19.116,22.562,18.723,17.101,11.42,7.211,10.687,106.82,0.178955252,0.211215128,0.175276166,0.160091743,0.106908819,0.067506085,0.100046808
2014,25,Ring,Y,L,5,14.611,18.566,18.807,17.972,12.382,7.715,10.302,100.355,0.145593144,0.185003239,0.187404713,0.179084251,0.123381994,0.076877086,0.102655573
2014,26,Center,N,H,5,12.747,20.886,19.111,19.402,14.184,9.282,13.278,108.89,0.117063091,0.191808247,0.175507393,0.178179814,0.130259895,0.085241987,0.121939572
2014,26,Ring,N,H,5,17.214,21.775,18.241,17.487,11.845,7.5,11.24,105.302,0.163472679,0.206786196,0.17322558,0.166065222,0.112485993,0.071223718,0.106740613
2014,27,Center,N,L,5,4.369,15.673,23.62,25.462,20.207,14.878,19.061,123.27,0.035442525,0.127143668,0.191611909,0.206554717,0.163924718,0.120694411,0.154628052
2014,27,Ring,N,L,5,12.954,18.832,21.377,21.323,15.606,9.296,14.198,113.586,0.114045745,0.16579508,0.188201011,0.1877256,0.137393693,0.081841072,0.124997799
2014,28,Center,Y,H,5,16.454,18.949,20.188,20.647,14.421,9.596,12.059,112.314,0.146499991,0.168714497,0.179746069,0.183832826,0.128398953,0.085439037,0.107368627
2014,28,Ring,Y,H,5,14.145,15.815,19.058,19.856,14.956,9.063,11.428,104.321,0.135591108,0.15159939,0.182686132,0.190335599,0.14336519,0.086876084,0.109546496
2014,29,Center,Y,N,5,11.201,22.13,19.904,18.359,13.255,8.579,11.925,105.353,0.106318757,0.210055717,0.188926751,0.174261768,0.125815117,0.081430999,0.113190892
2014,29,Ring,Y,N,5,16.369,22.441,20.153,18.84,13.73,8.899,12.241,112.673,0.145278816,0.199169277,0.178862727,0.167209536,0.121857055,0.078980767,0.108641822
2014,30,Center,N,N,5,20.129,27.653,27.163,26.883,20.09,12.491,16.936,151.345,0.13300076,0.182714989,0.179477353,0.177627275,0.13274307,0.082533285,0.111903267
2014,30,Ring,N,N,5,10.077,19.078,22.972,23.057,17.287,10.839,15.742,119.052,0.084643685,0.160249303,0.192957699,0.193671673,0.145205456,0.09104425,0.132227934
2014,31,Center,N,H,6,18.702,23.139,21.785,20.542,13.756,8.097,8.081,114.102,0.163905979,0.202792239,0.190925663,0.180031901,0.120558798,0.070962823,0.070822597
2014,31,Ring,N,H,6,19.831,21.811,21.642,21.549,15.67,9.425,11.676,121.604,0.163078517,0.179360876,0.177971119,0.177206342,0.128860893,0.077505674,0.096016578
2014,32,Center,Y,N,6,15.579,22.196,22.332,20.122,14.585,10.071,14.313,119.198,0.130698502,0.186211178,0.187352137,0.168811557,0.122359436,0.084489673,0.120077518
2014,32,Ring,Y,N,6,8.814,17.166,22.312,26.407,20.431,15.242,19.997,130.369,0.067608097,0.131672407,0.171144981,0.202555822,0.156716704,0.116914297,0.153387692
2014,33,Center,Y,H,6,21.901,24.945,21.238,21.094,14.894,9.958,13.096,127.126,0.172277898,0.196222645,0.167062599,0.165929865,0.117159354,0.078331734,0.103015905
2014,33,Ring,Y,H,6,10.286,13.61,17.831,19.174,13.789,8.661,12.792,96.143,0.106986468,0.141559968,0.18546332,0.199432096,0.143421778,0.090084562,0.133051808
2014,34,Center,N,N,6,11.546,24.644,26.1,21.302,14.005,8.828,12.218,118.643,0.097317162,0.207715584,0.219987694,0.179547044,0.118043205,0.074408098,0.102981213
2014,34,Ring,N,N,6,7.044,18.764,23.161,24.002,20.347,15.865,17.854,127.037,0.055448413,0.147704999,0.182316963,0.188937081,0.160165936,0.124884876,0.140541732
2014,35,Center,Y,L,6,10.603,16.621,18.806,18.989,13.297,8.346,9.154,95.816,0.110660015,0.173467897,0.196272021,0.198181932,0.138776405,0.08710445,0.09553728
2014,35,Ring,Y,L,6,8.013,16.267,18.927,17.949,12.222,7.212,7.986,88.576,0.090464686,0.183650199,0.213680907,0.202639541,0.137983201,0.081421604,0.090159863
2014,36,Center,N,L,6,10.742,15.87,16.025,16.85,12.45,8.052,9.934,89.923,0.119457758,0.176484325,0.178208022,0.187382538,0.138451787,0.089543276,0.110472293
2014,36,Ring,N,L,6,7.717,21.146,24.307,23.976,17.915,11.258,11.501,117.82,0.065498218,0.179477169,0.20630623,0.20349686,0.152053981,0.095552538,0.097615006
